adduser,3.112ubuntu1
man-db,2.5.7-2ubuntu1
mawk,1.3.3-15ubuntu2
mg,20090107-3
mime-support,3.48-1ubuntu1
module-assistant,0.11.2ubuntu1
module-init-tools,3.11.1-2ubuntu1
mount,2.17.2-0ubuntu1.10.04.2
mountall,2.15.3
ncurses-base,5.7+20090803-2ubuntu3
ncurses-bin,5.7+20090803-2ubuntu3
net-tools,1.60-23ubuntu2
netbase,4.35ubuntu3
netcat-openbsd,1.89-3ubuntu2
nfs-common,1:1.2.0-4ubuntu4.2
ntpdate,1:4.2.4p8+dfsg-1ubuntu2.1
open-vm-dkms,2011.12.20-562307-0ubuntu1
open-vm-tools,2011.03.28-387002-0ubuntu1
openssh-client,1:5.3p1-3ubuntu7
openssh-server,1:5.3p1-3ubuntu7
openssl,0.9.8k-7ubuntu8.15
passwd,1:4.1.4.2-1ubuntu2.2
patch,2.6-2ubuntu1
perl,5.10.1-8ubuntu2.4
perl-base,5.10.1-8ubuntu2.4
perl-modules,5.10.1-8ubuntu2.4
pkg-config,0.22-1build2
plymouth,0.8.2-2ubuntu2.2
po-debconf,1.0.16
portmap,6.0.0-1ubuntu2.2
procps,1:3.2.8-1ubuntu4.3
psmisc,22.10-1
python,2.6.5-0ubuntu1.1
python-central,0.6.15ubuntu1
python-minimal,2.6.5-0ubuntu1.1
python2.6,2.6.5-1ubuntu6.3
python2.6-minimal,2.6.5-1ubuntu6.3
quota,3.17-6
readline-common,6.1-1
rsync,3.0.7-1ubuntu1.1
rsyslog,4.2.0-2ubuntu8.1
runit,2.0.0-1ubuntu4
scsitools,0.10-2.1ubuntu2
sed,4.2.1-6
sensible-utils,0.0.1ubuntu3
sg3-utils,1.28-2
strace,4.5.19-2
sudo,1.7.2p1-1ubuntu5.6
sysstat,9.0.6-2
sysv-rc,2.87dsf-4ubuntu17.5
sysvinit-utils,2.87dsf-4ubuntu17.5
tar,1.22-2ubuntu1
tasksel,2.73ubuntu26
tasksel-data,2.73ubuntu26
tcpdump,4.0.0-6ubuntu3
traceroute,2.0.13-2
tripwire,2.3.1.2.0-13
tzdata,2013g-0ubuntu0.10.04
ubuntu-keyring,2010.11.09
ubuntu-minimal,1.197
ucf,3.0025
udev,151-12.3
unzip,6.0-1build1
upstart,0.6.5-8
ureadahead,0.100.0-4.1.3
util-linux,2.17.2-0ubuntu1.10.04.2
uuid-dev,2.17.2-0ubuntu1.10.04.2
vim-common,2:7.2.330-1ubuntu3.1
vim-tiny,2:7.2.330-1ubuntu3.1
vmware-tools-vmxnet3-modules-source,1.0.36.0-2
wget,1.12-1.1ubuntu2.1
whiptail,0.52.10-5ubuntu1
wireless-crda,1.12
xkb-data,1.8-1ubuntu8.1~10.04.1
xz-utils,4.999.9beta+20091116-1
zip,3.0-2
zlib1g,1:1.2.3.3.dfsg-15ubuntu1
zlib1g-dev,1:1.2.3.3.dfsg-15ubuntu1
